code,processed_code
"print Hallo welkom bij Hedys!
print Hallo
",print % % % % print % 
"print Hallo welkom bij Hedys!
print Hallo Hoe gaat het?
print Wil je bakkie koffie?
",print % % % % print % % % % print % % % % 
"print Hallo welkom bij Hedys!
print Hallo Hoe gaat het?
print Wil je bakkie koffie?
print Wil je er een koekie bij?
",print % % % % print % % % % print % % % % print % % % % % % 
"print Hallo welkom bij Hedys!
print Hallo Hoe gaat het?
print Wil je bakkie koffie?
print Wil je er een koekie bij?
print Nou leuk dat je er bent! Waar wil je het over hebben?
",print % % % % print % % % % print % % % % print % % % % % % print % % % % % % % % % % % % 
"ask Wat is je lievelingskleur?
ask Wat is je lievelingseten?
ask Wat is je favoriete voetbalclub?",ask % is % % ask % is % % ask % is % % % 
"print hallo wereld!
print hallo Kees",print % % print % % 
"print hallo mensen ik ben nicky
ask Wie ben jij?
echo dus jij bent ask",print % % % % % ask % % % % % % % ask 
"print hallo mensen ik ben nicky
ask Wie ben jij?
echo dus jij bent ",print % % % % % ask % % % % % % % 
"print Hallo allemaal
ask Hoe gaat het met jullie
echo dus het gaat goed met jullie",print % % ask % % % % % % % % % % % % 
"print Hallo ik ben Senna
ask Wat is jou naam?
echo Leuk je te ontmoeten",print % % % % ask % is % % % % % % % 
"print Hallo persoon welkom bij Hedy!
ask hoe heet je?
echo oke ",print % % % % % ask % % % % % 
"print hallo wereld!
ask hoe heet je?
echo dus je heet",print % % ask % % % % % % % 
"print hallo wereld!
ask hoe heet je?
echo dus je heet 
ask hoe gaat het met je?
echo waarom gaat het",print % % ask % % % % % % % ask % % % % % % % % % 
"ask Wat is je lievelingskleur?
echo dus je lievelingskleur is rood
ask Wat is je lievelingskleur?
",ask % is % % % % % % is % ask % is % % 
"ask wat is jouw huisdier
print hallo wereld!
echo dus jouw huisdier is een ",ask % is % % print % % % % % % is % 
"print hallo wereld!
ask Wat is je lievelingskleur? 
echo het is blauw",print % % ask % is % % % % is % 
"print hallo wereld!
ask Wat is je lievelingskleur? 
echo het is ",print % % ask % is % % % % is 
"print hallo wereld!
ask Wat is je lievelingskleur? 
echo dus je lievelingskleur is
",print % % ask % is % % % % % % is 
"ask Wat is je naam? 
echo Hallo 
print Vandaag gaan we kijken naar ozark
",ask % is % % % % print % % % % % % 
"print hallo ik ben Eva
ask wat vind je leuk om te doen?",print % % % % ask % % % % % % % 
"print hallo ik ben Eva
ask wat vind je leuk om te doen?
echo dus je vindt het leuk om ",print % % % % ask % % % % % % % % % % % % % % 
"print hallo ik ben Eva
ask wat vind je leuk om te doen?
echo dus je vindt het leuk om te",print % % % % ask % % % % % % % % % % % % % % % 
"print ik ben thom
ask hoe heet jij
echo dus jij heet ",print % % % ask % % % % % % % 
"print hallo wereld!
ask Wat is je lievelings eten? 
echo dus je lievelings eten is ",print % % ask % is % % % % % % % % is 
"ask wat is de hoofdpersoon van jouw verhaal
print de hoofdpersoon gaat nu in het bos lopen",ask % is % % % % % print % % % % % % % % 
"ask wat is de hoofdpersoon van jouw verh
print Steven gaat nu gamen",ask % is % % % % % print % % % % 
"print hoi
ask hoe gaat het 
echo met jou gaat het dus ",print % ask % % % % % % % % % 
"print hoi
ask hoe gaat het 
echo met jou gaat het dus 
print dat is mooi
ask wat is je lievelings sport
echo oe dat vind ik ook leuk dat 
print dat speel ik best vaak",print % ask % % % % % % % % % print % is % ask % is % % % % % % % % % % % print % % % % % 
"ask mijn naam is job
echo dus je naam is",ask % % is % % % % % is 
"print hallo wereld!
print meer",print % % print % 
"print hallo wereld!
print meer print",print % % print % print 
"ask hoeveel is 1 + 1
",ask % is % + % 
"ask hoeveel is 1 + 1
echo dus hoeveel is 1 + 1
",ask % is % + % % % % is % + % 
"ask hoeveel is 1 + 1
echo dus hoeveel is 1 + 1 = 
",ask % is % + % % % % is % + % = 
"ask hoeveel is 1 + 1
echo dus 1 + 1 = 
",ask % is % + % % % % + % = 
"ask wat is jouw lievelings kleur
echo dus je hebt ",ask % is % % % % % % % 
"print hallo wereld!
print biertje?
ask wat is je bier?
echo bier",print % % print % ask % is % % % % 
"print hallo wereld!
print biertje?
ask wat is je bier?
echo ",print % % print % ask % is % % % 
ask De hoofdpersoon van dit verhaal is x,ask % % % % % is % 
"print Hallo welkom bij Hedy!
print Hallo welkom ik heet Noa
",print % % % % print % % % % % 
"print Hallo welkom bij Hedy!
print Hallo ik heet Noa
ask wat is jou lievelingskleur
",print % % % % print % % % % ask % is % % 
"print Hallo welkom bij Hedy!
print Hallo ik heet Noa
ask wat is jou lievelingskleur
echo jij bent bik",print % % % % print % % % % ask % is % % % % % % 
"print hallo welkom bij de quiz 
ask Wat is je lievelingseten",print % % % % % ask % is % % 
"print hallo welkom bij de quiz 
ask Wat is je lievelingseten
echo dus je lievelingseten is ",print % % % % % ask % is % % % % % % is 
"print hallo wereld!
ask how old are you?",print % % ask % % % % 
print is ask wat is je lievelingsdier,print is ask % is % % 
"ask wil jij een spelletje met me doen?
echo dus jouw antwoord is",ask % % % % % % % % % % % is 
"echo hallo hoe gaat het met jullie?
echo oke dus het gaat goed?",% % % % % % % % % % % % % 
"echo hallo hoe gaat het met jullie?
",% % % % % % % 
"ask Wat is je naam?
echo Hallo, 
print !",ask % is % % % % print % 
"ask Wat is de Hoofdpersoon van het verhaal?
echo De hoofdpersoon an het verhaal is
print Hij loopt in het bos.
echo En hij hoort iemand zeggen: Hallo, ",ask % is % % % % % % % % % % % is print % % % % % % % % % % % % 
"print Hallo en welkom bij Hedy.
print Ik ga proberen een gesprek met je te voeren.
ask Wat is je lievelingsdocent?
echo dus je lievelingsdecont is ",print % % % % % print % % % % % % % % % ask % is % % % % % % is 
"print Hallo en welkom bij Hedy.
print Ik ga proberen een gesprek met je te voeren.
ask Wat is je lievelingsdocent?
echo dus je lievelingsdecont is 
ask waar woon je?
echo ah, ",print % % % % % print % % % % % % % % % ask % is % % % % % % is ask % % % % % 
"print Hallo en welkom bij Hedy.
print Ik ga proberen een gesprek met je te voeren.
ask Wat is je lievelingsdocent?
echo Dus je lievelingsdecont is 
print Die van mij ook! Toevallig.
ask waar woon je?
echo ah, ",print % % % % % print % % % % % % % % % ask % is % % % % % % is print % % % % % ask % % % % % 
"print Hallo en welkom bij Hedy.
print Ik ga proberen een gesprek met je te voeren.
ask Wat is je lievelingsdocent?
echo Dus je lievelingsdecont is 
print Die van mij ook! Toevallig.
ask waar woon je?
echo Ah, 
print Het is mooi daar he?",print % % % % % print % % % % % % % % % ask % is % % % % % % is print % % % % % ask % % % % % print % is % % % 
"ask Wat is je lievelingskleur?
echo wat is je lievelingskleur
",ask % is % % % % is % % 
"echo wat is je lievelingskleur
",% % is % % 
print De hoofdpersoon loopt nu door het bos,print % % % % % % % 
"ask Wat is je lievelingskleur?
ask hoe gaat het",ask % is % % ask % % % 
print ask echo,print ask % 
"print hallo wereld!
ask wat vind je van honden
echo ik ben allergisch
",print % % ask % % % % % % % % % 
"ask de hoofdpersoon van dit verhaal is
print Salima gaat naar het winkelcentrum
echo ze heeft wel veel gekocht
print overal ziet ze leuke winkels
print ze gaat naar huis",ask % % % % % is print % % % % % % % % % % % print % % % % % print % % % % 
"ask de hoofdpersoon van dit verhaal is
print Salima gaat naar het winkelcentrum
echo ze heeft wel veel gekocht
print ze ziet leuke winkels
print ze gaat naar huis",ask % % % % % is print % % % % % % % % % % % print % % % % print % % % % 
"ask de hoofdpersoon van dit verhaal is
print Salima gaat naar het winkelcentrum
echo ze heeft wel veel gekocht
print ziet leuke winkels
print ze gaat naar huis",ask % % % % % is print % % % % % % % % % % % print % % % print % % % % 
"print hallo wereld!
ask wat vind je leuk?
echo iets
",print % % ask % % % % % % 
"ask De hoofdpersoon van dit verhaal is Jantje 
print De hoofdpersoon gaat naar het verlaten kasteel om schatten te vinden
echo Die Jantje is echt nergens bang voor
print Jantje loopt het kasteel binnen
print Jantje rent gelijk naar buiten omdat een grote draak de schat bewaakt",ask % % % % % is % print % % % % % % % % % % % % % % is % % % % print % % % % % print % % % % % % % % % % % % 
"print vraag
ask lievelingskleur
echo",print % ask % % 
"print input
ask input",print % ask % 
ask De hoofdpersoon is,ask % % is 
"ask wie is de hoofdpersoon van jouw verhaal
echo wie is de hoofdpersoon van jouw verhaal",ask % is % % % % % % % is % % % % % 
"print Hallo
ask Hoe heet je?
echo Dus je heet ",print % ask % % % % % % % 
"print ik ben luca
ask wat is je lievelings game?
echo dus je lievelings game is",print % % % ask % is % % % % % % % % is 
"print Hallo
ask Hoe heet je?
echo Dus je heet 
ask Wat doe je in quarantaine?
print Leuk!",print % ask % % % % % % % ask % % % % % print % 
"ask Wat is de hoofdpersoon?
print Hij gaat nu naar het bos.
print In de verte staat een man.
print Hij is bang dat dat een moordenaar is.",ask % is % % print % % % % % % print % % % % % % print % is % % % % % % 
"print Hallo
ask Hoe heet je?
echo Dus je heet 
print Mooie naam!
ask Wat doe je in quarantaine?
print Leuk!",print % ask % % % % % % % print % % ask % % % % % print % 
"ask Wil jij later astronaut worden?
ask Wil jij later astronaut worden?",ask % % % % % ask % % % % % 
print Jasmijn is op vakantie in Hawaii,print % is % % % % 
"ask Wat is de hoofdpersoon van dit verhaal?
echo Dus de hoofdpersoon is  ",ask % is % % % % % % % % % is 
"ask Wat is Jasmijn aan het doen?
echo dus Jasmijn is op vakantie in ",ask % is % % % % % % % is % % % 
print print,print print 
"ask Wie is de hoofdpersoon?
echo De hoofdpersoon is 
print Ze is op vakantie in Hawaii.
ask Wat is ze daar aan het doen?
echo Ze is dus 
print Ze gaan samen naar het strand.
ask Hoe lang blijft ze op Hawaii?
echo Ze blijft hier 
print Ze gaat vandaag leren surfen.
",ask % is % % % % % is print % is % % % % ask % is % % % % % % % is % print % % % % % % ask % % % % % % % % % % print % % % % % 
"ask Wie is de hoofdpersoon?
echo De hoofdpersoon is 
print Ze is op vakantie in Hawaii.
ask Wat is ze daar aan het doen?
",ask % is % % % % % is print % is % % % % ask % is % % % % % 
"ask de hoofdpersoon van dit verhaal is
echo dus de hoofdpersoon van dit verhaal is",ask % % % % % is % % % % % % % is 
